"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 01 18:13:33 UTC 2022","Fri Apr 01 18:13:41 UTC 2022","7415","","Validate Content in Welcome page - Localization","","Validate Content in Welcome page - Localization","Verify and validate Viator application content in'Español (Venezuela)'","Verify and validate Viator application content in'Español (Venezuela)'",""
"passed","Fri Apr 01 18:13:41 UTC 2022","Fri Apr 01 18:13:48 UTC 2022","7554","","Validate Content in Welcome page - Localization","","Validate Content in Welcome page - Localization","Verify and validate Viator application content in'Português (Brasil)'","Verify and validate Viator application content in'Português (Brasil)'",""
"passed","Fri Apr 01 18:13:17 UTC 2022","Fri Apr 01 18:13:25 UTC 2022","8337","","Validate Content in Welcome page - Localization","","Validate Content in Welcome page - Localization","Verify and validate Viator application content in'Español (México)'","Verify and validate Viator application content in'Español (México)'",""
"passed","Fri Apr 01 18:12:52 UTC 2022","Fri Apr 01 18:12:59 UTC 2022","7113","","Validate Content in Welcome page - Localization","","Validate Content in Welcome page - Localization","Verify and validate Viator application content in'Español (Argentina)'","Verify and validate Viator application content in'Español (Argentina)'",""
"passed","Fri Apr 01 18:13:25 UTC 2022","Fri Apr 01 18:13:33 UTC 2022","8135","","Validate Content in Welcome page - Localization","","Validate Content in Welcome page - Localization","Verify and validate Viator application content in'Español (Perú)'","Verify and validate Viator application content in'Español (Perú)'",""
"passed","Fri Apr 01 18:13:09 UTC 2022","Fri Apr 01 18:13:17 UTC 2022","7322","","Validate Content in Welcome page - Localization","","Validate Content in Welcome page - Localization","Verify and validate Viator application content in'Español (Colombia)'","Verify and validate Viator application content in'Español (Colombia)'",""
"passed","Fri Apr 01 18:12:59 UTC 2022","Fri Apr 01 18:13:09 UTC 2022","10294","","Validate Content in Welcome page - Localization","","Validate Content in Welcome page - Localization","Verify and validate Viator application content in'Español (Chile)'","Verify and validate Viator application content in'Español (Chile)'",""
"passed","Fri Apr 01 18:12:27 UTC 2022","Fri Apr 01 18:12:37 UTC 2022","9846","","Validate Content in Welcome page - Localization","","Validate Content in Welcome page - Localization","Verify and validate Viator application content in'English'","Verify and validate Viator application content in'English'",""
"passed","Fri Apr 01 18:12:44 UTC 2022","Fri Apr 01 18:12:52 UTC 2022","7451","","Validate Content in Welcome page - Localization","","Validate Content in Welcome page - Localization","Verify and validate Viator application content in'English (Canada)'","Verify and validate Viator application content in'English (Canada)'",""
"passed","Fri Apr 01 18:12:37 UTC 2022","Fri Apr 01 18:12:44 UTC 2022","7357","","Validate Content in Welcome page - Localization","","Validate Content in Welcome page - Localization","Verify and validate Viator application content in'Français (Canada)'","Verify and validate Viator application content in'Français (Canada)'",""
